Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,1.64452e-06
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,1.76
,
,
,
Label,
TIME,CH1
-3.5548e-07,-0.008
-3.5508e-07,-0.008
-3.5468e-07,0.008
-3.5428e-07,0.016
-3.5388e-07,0.008
-3.5348e-07,-0.008
-3.5308e-07,0
-3.5268e-07,-0.024
-3.5228e-07,0
-3.5188e-07,0.008
-3.5148e-07,0.008
-3.5108e-07,0
-3.5068e-07,-0.008
-3.5028e-07,-0.008
-3.4988e-07,-0.008
-3.4948e-07,0
-3.4908e-07,0.008
-3.4868e-07,0.008
-3.4828e-07,0.008
-3.4788e-07,-0.008
-3.4748e-07,-0.008
-3.4708e-07,-0.008
-3.4668e-07,0.008
-3.4628e-07,0.008
-3.4588e-07,0.008
-3.4548e-07,0
-3.4508e-07,-0.008
-3.4468e-07,-0.008
-3.4428e-07,0
-3.4388e-07,0.008
-3.4348e-07,0.008
-3.4308e-07,0
-3.4268e-07,-0.008
-3.4228e-07,-0.008
-3.4188e-07,0
-3.4148e-07,0
-3.4108e-07,0.008
-3.4068e-07,0.008
-3.4028e-07,0.008
-3.3988e-07,-0.008
-3.3948e-07,-0.016
-3.3908e-07,0
-3.3868e-07,0
-3.3828e-07,0.008
-3.3788e-07,0
-3.3748e-07,-0.008
-3.3708e-07,-0.008
-3.3668e-07,-0.008
-3.3628e-07,0.008
-3.3588e-07,0.008
-3.3548e-07,0.008
-3.3508e-07,0
-3.3468e-07,-0.008
-3.3428e-07,0
-3.3388e-07,0
-3.3348e-07,0.008
-3.3308e-07,0.008
-3.3268e-07,0.008
-3.3228e-07,0
-3.3188e-07,-0.008
-3.3148e-07,-0.008
-3.3108e-07,0
-3.3068e-07,0
-3.3028e-07,0.008
-3.2988e-07,0
-3.2948e-07,0
-3.2908e-07,-0.008
-3.2868e-07,-0.008
-3.2828e-07,0.008
-3.2788e-07,0.008
-3.2748e-07,0.008
-3.2708e-07,0.008
-3.2668e-07,-0.008
-3.2628e-07,-0.008
-3.2588e-07,-0.008
-3.2548e-07,0.008
-3.2508e-07,0.008
-3.2468e-07,0.008
-3.2428e-07,-0.008
-3.2388e-07,-0.008
-3.2348e-07,-0.008
-3.2308e-07,0
-3.2268e-07,0.008
-3.2228e-07,0.016
-3.2188e-07,0.008
-3.2148e-07,0
-3.2108e-07,-0.008
-3.2068e-07,-0.016
-3.2028e-07,0
-3.1988e-07,0.008
-3.1948e-07,0.016
-3.1908e-07,0
-3.1868e-07,-0.008
-3.1828e-07,-0.008
-3.1788e-07,0
-3.1748e-07,0.008
-3.1708e-07,0.016
-3.1668e-07,0
-3.1628e-07,0
-3.1588e-07,0
-3.1548e-07,0
-3.1508e-07,0
-3.1468e-07,0
-3.1428e-07,0.008
-3.1388e-07,0
-3.1348e-07,-0.008
-3.1308e-07,-0.008
-3.1268e-07,0
-3.1228e-07,0
-3.1188e-07,0.016
-3.1148e-07,0.008
-3.1108e-07,0.008
-3.1068e-07,0
-3.1028e-07,-0.008
-3.0988e-07,0
-3.0948e-07,0.008
-3.0908e-07,0.008
-3.0868e-07,0
-3.0828e-07,-0.008
-3.0788e-07,0
-3.0748e-07,-0.016
-3.0708e-07,0
-3.0668e-07,0.008
-3.0628e-07,0.008
-3.0588e-07,0
-3.0548e-07,-0.008
-3.0508e-07,-0.008
-3.0468e-07,0
-3.0428e-07,0
-3.0388e-07,0.008
-3.0348e-07,0.008
-3.0308e-07,-0.008
-3.0268e-07,-0.016
-3.0228e-07,-0.016
-3.0188e-07,-0.008
-3.0148e-07,0
-3.0108e-07,0.008
-3.0068e-07,0
-3.0028e-07,0
-2.9988e-07,-0.016
-2.9948e-07,-0.008
-2.9908e-07,0
-2.9868e-07,0.016
-2.9828e-07,0.016
-2.9788e-07,0.008
-2.9748e-07,-0.008
-2.9708e-07,-0.008
-2.9668e-07,0
-2.9628e-07,0
-2.9588e-07,0.008
-2.9548e-07,0
-2.9508e-07,0
-2.9468e-07,-0.008
-2.9428e-07,0
-2.9388e-07,0
-2.9348e-07,0.008
-2.9308e-07,0.008
-2.9268e-07,0
-2.9228e-07,-0.008
-2.9188e-07,0
-2.9148e-07,-0.016
-2.9108e-07,0
-2.9068e-07,0.008
-2.9028e-07,0
-2.8988e-07,0
-2.8948e-07,-0.016
-2.8908e-07,-0.008
-2.8868e-07,-0.008
-2.8828e-07,0.008
-2.8788e-07,0.008
-2.8748e-07,0.008
-2.8708e-07,-0.008
-2.8668e-07,-0.008
-2.8628e-07,-0.008
-2.8588e-07,0
-2.8548e-07,0
-2.8508e-07,0.008
-2.8468e-07,0.008
-2.8428e-07,-0.008
-2.8388e-07,-0.008
-2.8348e-07,-0.016
-2.8308e-07,0.008
-2.8268e-07,0.008
-2.8228e-07,0.008
-2.8188e-07,0
-2.8148e-07,-0.008
-2.8108e-07,-0.008
-2.8068e-07,-0.008
-2.8028e-07,0.008
-2.7988e-07,0.016
-2.7948e-07,0.008
-2.7908e-07,0
-2.7868e-07,-0.016
-2.7828e-07,-0.008
-2.7788e-07,0.008
-2.7748e-07,0.008
-2.7708e-07,0.008
-2.7668e-07,0
-2.7628e-07,-0.008
-2.7588e-07,-0.008
-2.7548e-07,0
-2.7508e-07,0
-2.7468e-07,0.008
-2.7428e-07,0.008
-2.7388e-07,0
-2.7348e-07,-0.016
-2.7308e-07,-0.008
-2.7268e-07,0
-2.7228e-07,0.008
-2.7188e-07,0.008
-2.7148e-07,0
-2.7108e-07,-0.008
-2.7068e-07,-0.016
-2.7028e-07,0
-2.6988e-07,0
-2.6948e-07,0.008
-2.6908e-07,0.008
-2.6868e-07,0
-2.6828e-07,0
-2.6788e-07,-0.008
-2.6748e-07,-0.008
-2.6708e-07,0.008
-2.6668e-07,0.008
-2.6628e-07,0.008
-2.6588e-07,0
-2.6548e-07,0
-2.6508e-07,-0.008
-2.6468e-07,0
-2.6428e-07,0.016
-2.6388e-07,0.008
-2.6348e-07,0.008
-2.6308e-07,0
-2.6268e-07,-0.008
-2.6228e-07,-0.008
-2.6188e-07,0
-2.6148e-07,0.016
-2.6108e-07,0.008
-2.6068e-07,0
-2.6028e-07,0
-2.5988e-07,-0.016
-2.5948e-07,-0.008
-2.5908e-07,0.016
-2.5868e-07,0.008
-2.5828e-07,0.008
-2.5788e-07,-0.008
-2.5748e-07,0
-2.5708e-07,-0.008
-2.5668e-07,0
-2.5628e-07,0.008
-2.5588e-07,0.008
-2.5548e-07,-0.008
-2.5508e-07,0
-2.5468e-07,-0.016
-2.5428e-07,-0.008
-2.5388e-07,0
-2.5348e-07,0.008
-2.5308e-07,0.008
-2.5268e-07,0
-2.5228e-07,-0.016
-2.5188e-07,-0.008
-2.5148e-07,-0.008
-2.5108e-07,0
-2.5068e-07,0.008
-2.5028e-07,0.008
-2.4988e-07,0
-2.4948e-07,-0.016
-2.4908e-07,-0.008
-2.4868e-07,0
-2.4828e-07,0.008
-2.4788e-07,0.008
-2.4748e-07,-0.008
-2.4708e-07,-0.008
-2.4668e-07,-0.016
-2.4628e-07,-0.008
-2.4588e-07,0
-2.4548e-07,0.008
-2.4508e-07,0
-2.4468e-07,-0.008
-2.4428e-07,0
-2.4388e-07,-0.008
-2.4348e-07,0
-2.4308e-07,0.008
-2.4268e-07,0.008
-2.4228e-07,0.008
-2.4188e-07,-0.008
-2.4148e-07,-0.008
-2.4108e-07,-0.008
-2.4068e-07,0.008
-2.4028e-07,0.008
-2.3988e-07,0.016
-2.3948e-07,0
-2.3908e-07,0
-2.3868e-07,-0.008
-2.3828e-07,0
-2.3788e-07,0.008
-2.3748e-07,0.008
-2.3708e-07,0.008
-2.3668e-07,0
-2.3628e-07,-0.008
-2.3588e-07,0
-2.3548e-07,0
-2.3508e-07,0.016
-2.3468e-07,0.016
-2.3428e-07,0.008
-2.3388e-07,0
-2.3348e-07,-0.008
-2.3308e-07,0
-2.3268e-07,0.008
-2.3228e-07,0.008
-2.3188e-07,0.008
-2.3148e-07,0.008
-2.3108e-07,-0.008
-2.3068e-07,-0.008
-2.3028e-07,0.008
-2.2988e-07,0.008
-2.2948e-07,0.008
-2.2908e-07,0.008
-2.2868e-07,0
-2.2828e-07,-0.016
-2.2788e-07,-0.008
-2.2748e-07,0
-2.2708e-07,0.008
-2.2668e-07,0.016
-2.2628e-07,0.008
-2.2588e-07,-0.008
-2.2548e-07,-0.008
-2.2508e-07,0
-2.2468e-07,0
-2.2428e-07,0.008
-2.2388e-07,0.008
-2.2348e-07,0
-2.2308e-07,-0.008
-2.2268e-07,0
-2.2228e-07,0
-2.2188e-07,0.008
-2.2148e-07,0.008
-2.2108e-07,0
-2.2068e-07,0
-2.2028e-07,-0.016
-2.1988e-07,0
-2.1948e-07,0
-2.1908e-07,0.008
-2.1868e-07,0.008
-2.1828e-07,0
-2.1788e-07,0
-2.1748e-07,-0.008
-2.1708e-07,0
-2.1668e-07,0
-2.1628e-07,0.008
-2.1588e-07,0.016
-2.1548e-07,-0.016
-2.1508e-07,-0.016
-2.1468e-07,0
-2.1428e-07,0
-2.1388e-07,0.008
-2.1348e-07,0.008
-2.1308e-07,0.008
-2.1268e-07,-0.008
-2.1228e-07,-0.008
-2.1188e-07,-0.008
-2.1148e-07,0
-2.1108e-07,0.008
-2.1068e-07,0.008
-2.1028e-07,0.008
-2.0988e-07,-0.016
-2.0948e-07,-0.008
-2.0908e-07,-0.008
-2.0868e-07,0
-2.0828e-07,0.016
-2.0788e-07,0.008
-2.0748e-07,0
-2.0708e-07,-0.008
-2.0668e-07,-0.008
-2.0628e-07,0
-2.0588e-07,0
-2.0548e-07,0.016
-2.0508e-07,0
-2.0468e-07,0
-2.0428e-07,-0.008
-2.0388e-07,-0.016
-2.0348e-07,0.008
-2.0308e-07,0.008
-2.0268e-07,0.016
-2.0228e-07,0
-2.0188e-07,-0.008
-2.0148e-07,-0.016
-2.0108e-07,0
-2.0068e-07,0
-2.0028e-07,0.016
-1.9988e-07,0.008
-1.9948e-07,-0.008
-1.9908e-07,-0.008
-1.9868e-07,-0.008
-1.9828e-07,0
-1.9788e-07,0.008
-1.9748e-07,0.008
-1.9708e-07,0
-1.9668e-07,-0.008
-1.9628e-07,-0.016
-1.9588e-07,-0.008
-1.9548e-07,0
-1.9508e-07,0
-1.9468e-07,0.016
-1.9428e-07,0
-1.9388e-07,-0.008
-1.9348e-07,0
-1.9308e-07,0
-1.9268e-07,0.008
-1.9228e-07,0.008
-1.9188e-07,0.008
-1.9148e-07,0
-1.9108e-07,-0.008
-1.9068e-07,0
-1.9028e-07,-0.008
-1.8988e-07,0.016
-1.8948e-07,0.008
-1.8908e-07,0
-1.8868e-07,-0.008
-1.8828e-07,-0.008
-1.8788e-07,0.008
-1.8748e-07,0.008
-1.8708e-07,0.008
-1.8668e-07,0.008
-1.8628e-07,-0.008
-1.8588e-07,-0.008
-1.8548e-07,-0.008
-1.8508e-07,0
-1.8468e-07,0.008
-1.8428e-07,0.008
-1.8388e-07,0
-1.8348e-07,0
-1.8308e-07,0
-1.8268e-07,-0.008
-1.8228e-07,-0.008
-1.8188e-07,0.016
-1.8148e-07,0.008
-1.8108e-07,0
-1.8068e-07,0
-1.8028e-07,-0.008
-1.7988e-07,0
-1.7948e-07,0.008
-1.7908e-07,0.016
-1.7868e-07,0.016
-1.7828e-07,0
-1.7788e-07,-0.016
-1.7748e-07,-0.008
-1.7708e-07,0
-1.7668e-07,0.008
-1.7628e-07,0.008
-1.7588e-07,0
-1.7548e-07,-0.008
-1.7508e-07,-0.008
-1.7468e-07,-0.008
-1.7428e-07,0.008
-1.7388e-07,0.008
-1.7348e-07,0.008
-1.7308e-07,0
-1.7268e-07,-0.008
-1.7228e-07,-0.008
-1.7188e-07,0
-1.7148e-07,0
-1.7108e-07,0.008
-1.7068e-07,0
-1.7028e-07,0
-1.6988e-07,-0.008
-1.6948e-07,-0.008
-1.6908e-07,-0.008
-1.6868e-07,0.016
-1.6828e-07,0.008
-1.6788e-07,0
-1.6748e-07,0
-1.6708e-07,0
-1.6668e-07,0.008
-1.6628e-07,0.008
-1.6588e-07,0.008
-1.6548e-07,0
-1.6508e-07,0
-1.6468e-07,0
-1.6428e-07,-0.016
-1.6388e-07,0.008
-1.6348e-07,0
-1.6308e-07,0.008
-1.6268e-07,0
-1.6228e-07,0
-1.6188e-07,-0.016
-1.6148e-07,0
-1.6108e-07,0.008
-1.6068e-07,0.008
-1.6028e-07,0.016
-1.5988e-07,0
-1.5948e-07,-0.008
-1.5908e-07,-0.008
-1.5868e-07,0
-1.5828e-07,0.008
-1.5788e-07,0.008
-1.5748e-07,0
-1.5708e-07,0
-1.5668e-07,-0.008
-1.5628e-07,0
-1.5588e-07,0
-1.5548e-07,0.008
-1.5508e-07,0.008
-1.5468e-07,0
-1.5428e-07,0
-1.5388e-07,-0.008
-1.5348e-07,-0.008
-1.5308e-07,0
-1.5268e-07,0.016
-1.5228e-07,0.008
-1.5188e-07,0
-1.5148e-07,-0.008
-1.5108e-07,-0.008
-1.5068e-07,-0.008
-1.5028e-07,0
-1.4988e-07,0.008
-1.4948e-07,0
-1.4908e-07,-0.016
-1.4868e-07,-0.008
-1.4828e-07,-0.008
-1.4788e-07,0
-1.4748e-07,0.008
-1.4708e-07,0.008
-1.4668e-07,0
-1.4628e-07,-0.008
-1.4588e-07,-0.016
-1.4548e-07,-0.008
-1.4508e-07,0.008
-1.4468e-07,0.016
-1.4428e-07,0
-1.4388e-07,0
-1.4348e-07,-0.016
-1.4308e-07,-0.008
-1.4268e-07,-0.008
-1.4228e-07,0.008
-1.4188e-07,0.016
-1.4148e-07,0.008
-1.4108e-07,0
-1.4068e-07,-0.008
-1.4028e-07,-0.008
-1.3988e-07,0
-1.3948e-07,0.008
-1.3908e-07,0.016
-1.3868e-07,0
-1.3828e-07,-0.008
-1.3788e-07,-0.016
-1.3748e-07,-0.008
-1.3708e-07,0.008
-1.3668e-07,0.008
-1.3628e-07,0.008
-1.3588e-07,0
-1.3548e-07,0
-1.3508e-07,0
-1.3468e-07,0
-1.3428e-07,0.008
-1.3388e-07,0.016
-1.3348e-07,0.016
-1.3308e-07,-0.008
-1.3268e-07,-0.008
-1.3228e-07,0
-1.3188e-07,0
-1.3148e-07,0.008
-1.3108e-07,0.008
-1.3068e-07,0.008
-1.3028e-07,-0.008
-1.2988e-07,0
-1.2948e-07,0
-1.2908e-07,0.008
-1.2868e-07,0.024
-1.2828e-07,0.008
-1.2788e-07,-0.008
-1.2748e-07,-0.008
-1.2708e-07,0
-1.2668e-07,0.008
-1.2628e-07,0
-1.2588e-07,0.008
-1.2548e-07,0
-1.2508e-07,0
-1.2468e-07,-0.016
-1.2428e-07,-0.008
-1.2388e-07,0
-1.2348e-07,0.008
-1.2308e-07,0.008
-1.2268e-07,0.008
-1.2228e-07,-0.008
-1.2188e-07,-0.008
-1.2148e-07,0
-1.2108e-07,0.008
-1.2068e-07,0.016
-1.2028e-07,0.008
-1.1988e-07,0
-1.1948e-07,-0.016
-1.1908e-07,-0.008
-1.1868e-07,-0.008
-1.1828e-07,0.008
-1.1788e-07,0.008
-1.1748e-07,0
-1.1708e-07,-0.008
-1.1668e-07,-0.008
-1.1628e-07,-0.008
-1.1588e-07,0
-1.1548e-07,0
-1.1508e-07,0
-1.1468e-07,-0.008
-1.1428e-07,-0.008
-1.1388e-07,-0.008
-1.1348e-07,-0.008
-1.1308e-07,0.008
-1.1268e-07,0.016
-1.1228e-07,-0.008
-1.1188e-07,-0.008
-1.1148e-07,-0.008
-1.1108e-07,-0.008
-1.1068e-07,0.008
-1.1028e-07,0
-1.0988e-07,0
-1.0948e-07,0
-1.0908e-07,0
-1.0868e-07,-0.008
-1.0828e-07,0
-1.0788e-07,0.008
-1.0748e-07,0.008
-1.0708e-07,0.008
-1.0668e-07,0
-1.0628e-07,-0.008
-1.0588e-07,0
-1.0548e-07,0
-1.0508e-07,0.008
-1.0468e-07,0.008
-1.0428e-07,0
-1.0388e-07,-0.008
-1.0348e-07,-0.008
-1.0308e-07,-0.008
-1.0268e-07,0
-1.0228e-07,0.008
-1.0188e-07,0.016
-1.0148e-07,0
-1.0108e-07,-0.008
-1.0068e-07,0
-1.0028e-07,0
-9.9882e-08,0
-9.9482e-08,0.008
-9.9082e-08,0.008
-9.8682e-08,0
-9.8282e-08,-0.008
-9.7882e-08,-0.008
-9.7482e-08,0
-9.7082e-08,0.008
-9.6682e-08,0.008
-9.6282e-08,0
-9.5882e-08,-0.008
-9.5482e-08,-0.008
-9.5082e-08,0
-9.4682e-08,0
-9.4282e-08,0
-9.3882e-08,0
-9.3482e-08,0
-9.3082e-08,-0.008
-9.2682e-08,-0.008
-9.2282e-08,-0.008
