Unnamed: 0.1,Unnamed: 0,Detector,Distance (cm),Lateral displacement (cm),Pulse length (microseconds),Shielding or not,Beam intensity (V),Recorded Dose (C*10^-8),Filename min,Filename max,Notes,Magnet,area,peaks
0,13,ACLGADs 500 micron pitch,150.0,0,3.0,N,85,0.077,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0199CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0207CH1.csv,,,,
1,3,ACLGADs 300 micron pitch,154.3,0,0.5,N,85,0.045,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0070CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0081CH1.csv,,,,
2,1,ACLGADs 300 micron pitch,154.3,0,1.0,N,85,0.059,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0053CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0060CH1.csv,,,,
3,4,ACLGADs 300 micron pitch,107.0,0,1.0,N,85,0.123,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0082CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0093CH1.csv,,,,
4,7,ACLGADs 300 micron pitch,57.0,0,1.0,N,85,0.403,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0121CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0127CH1.csv,,,,
5,10,ACLGADs 300 micron pitch,75.0,0,1.0,N,85,0.247,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0153CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0165CH1.csv,,,,
9,11,ACLGADs 300 micron pitch,75.0,0,2.0,N,85,0.355,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0166CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0182CH1.csv,,,,
6,0,ACLGADs 300 micron pitch,154.3,0,2.0,N,85,0.087,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0048CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0052CH1.csv,,,,
7,5,ACLGADs 300 micron pitch,107.0,0,2.0,N,85,0.173,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0094CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0106CH1.csv,,,,
8,8,ACLGADs 300 micron pitch,57.0,0,2.0,N,85,0.593,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0128CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0139CH1.csv,saturated,,,
10,9,ACLGADs 300 micron pitch,57.0,0,3.0,N,85,0.737,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0140CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0152CH1.csv,,,,
11,12,ACLGADs 300 micron pitch,75.0,0,3.0,N,85,0.453,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0183CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0198CH1.csv,,,,
12,2,ACLGADs 300 micron pitch,154.3,0,3.0,N,85,0.102,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0061CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0069CH1.csv,,,,
13,6,ACLGADs 300 micron pitch,107.0,0,3.0,N,85,,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0107CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/aclgad_set2_only/tek0120CH1.csv,,,,
