Detector,Channel,Beam,Z,X,HV,LV,Shield,Pulse,Dose,Abs_Dose,Comment,FileMin,FileMax,area,peaks,Unnamed: 16,Unnamed: 17
BNL,16,Electrons 85V,60,0,60,5.8,No,1.0,0.807,0.00065,"HV 60, LV 5.8",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0001.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0022.csv,,,,
BNL,16,Electrons 85V,60,0,0,5.8,No,1.0,0.824,0.00067,"HV 0, LV 5.8",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0023.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0033.csv,,,,
BNL,16,Electrons 85V,60,0,0,5.5,No,1.0,0.831,0.00067,"HV 0, LV 5.5",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0034.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0044.csv,,,,
BNL,16,Electrons 85V,60,0,0,6,No,1.0,0.831,0.00067,"HV 0, LV 6.0",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0045.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0052.csv,,,,
BNL,16,Electrons 85V,60,0,0,6,No,1.0,0.847,0.00069,"HV 0, LV 6.0",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0053.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0055.csv,,,,
BNL,16,Electrons 85V,60,0,30,5.7,No,0.1,0.379,0.00031,"HV 30, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0056.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0066.csv,,,,
BNL,16,Electrons 85V,60,0,30,5.7,No,0.1,0.384,0.00031,"HV 30, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0124.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0124.csv,,,,
BNL,16,Electrons 85V,60,0,100,5.7,No,1.0,0.825,0.00067,"HV 100, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0149.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0158.csv,,,,
BNL,16,Electrons 85V,40,0,100,5.7,No,0.5,0.948,0.00077,"HV 100, LV 5.7, trigger 104",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0159.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0169.csv,,,,
BNL,16,Electrons 85V,40,0,0,5.7,No,0.5,0.965,0.00078,"HV 0, LV 5.7, trigger 104",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0170.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0180.csv,,,,
BNL,16,Electrons 85V,40,0,0,5.7,No,1.0,1.383,0.0011,"HV 0, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0181.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0192.csv,,,,
BNL,16,Electrons 85V,40,0,0,5.7,No,2.0,2.258,0.0018,"HV 0, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0193.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0203.csv,,,,
BNL,16,Electrons 85V,40,0,0,5.7,No,3.0,2.93,0.0024,"HV 0, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0204.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0214.csv,,,,
BNL,16,Electrons 85V,40,0,40,5.7,No,0.5,1.007,0.00082,"HV 40, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0215.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0224.csv,,,,
BNL,16,Electrons 85V,40,0,40,5.7,No,1.0,1.432,0.0012,"HV 40, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0225.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0236.csv,,,,
BNL,16,Electrons 85V,40,0,40,5.7,No,2.0,2.323,0.0019,"HV 40, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0237.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0247.csv,,,,
BNL,16,Electrons 85V,40,0,40,5.7,No,3.0,2.963,0.0024,"HV 40, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0248.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0261.csv,,,,
BNL,16,Electrons 85V,40,0,60,5.7,No,0.5,1.02,0.00083,"HV 60, LV 5.7",/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0262.csv,/home/pyepes/data/2025-05-06/scope-results-2025-05-06-0275.csv,,,,
