Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0085.csv,1.9562399999999975e-08,1.9562399999999975e-08,0,0,0,0,50 ohms
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0086.csv,2.0086666666666697e-08,2.0086666666666697e-08,0,0,0,0,50 ohms time 0.1
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0087.csv,1.9381546666666634e-08,1.9381546666666634e-08,0,0,0,0,50 ohms time 0.1
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0088.csv,1.9546999999999993e-08,1.9546999999999993e-08,0,0,0,0,50 ohms time 0.05
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0090.csv,1.926306666666665e-08,1.926306666666665e-08,0,0,0,0,50 ohms time 0.05
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0091.csv,1.9150937333333323e-08,1.9150937333333323e-08,0,0,0,0,50 ohms time 0.05
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0092.csv,1.8944600000000053e-08,1.8944600000000053e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0093.csv,1.9316421333333333e-08,1.9316421333333333e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0095.csv,7.00947466666676e-09,7.00947466666676e-09,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0096.csv,1.899180800000004e-08,1.899180800000004e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0097.csv,1.857440000000012e-10,1.857440000000012e-10,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0099.csv,1.8901933333333324e-08,1.8901933333333324e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0137.csv,9.84301333333333e-08,9.84301333333333e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0138.csv,1.1706357333333341e-08,1.1706357333333341e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0139.csv,9.722929333333337e-08,9.722929333333337e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0140.csv,9.669301866666664e-08,9.669301866666664e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0141.csv,9.112321333333333e-08,9.112321333333333e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0142.csv,9.247309066666668e-08,9.247309066666668e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0143.csv,9.73993226666667e-08,9.73993226666667e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0144.csv,9.526784000000004e-08,9.526784000000004e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0145.csv,9.24357546666667e-08,9.24357546666667e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0146.csv,9.564138666666661e-08,9.564138666666661e-08,0,0,0,0,50 ohms time 0.01
