Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0001.csv,2.0133333333333432e-10,,29,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0002.csv,2.3966666666666155e-10,,43,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0003.csv,1.520000000000125e-10,,56,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0004.csv,1.5906666666666752e-09,,87,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0005.csv,2.9550000000000093e-09,,81,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0006.csv,6.726666666666649e-09,,326,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0007.csv,1.2333333333333392e-09,,82,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0008.csv,1.4989333333333342e-08,,293,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0009.csv,1.5076666666666572e-09,,91,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0010.csv,9.756679504022482e-11,,27,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0011.csv,1.6013333333333326e-09,,69,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0012.csv,1.6186666666666547e-09,,75,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0013.csv,2.882333333333338e-09,,77,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0014.csv,3.008000000000011e-09,,92,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0015.csv,1.482333333333339e-09,,81,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0016.csv,1.5250000000000087e-09,,83,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0017.csv,1.6560000000000063e-09,,93,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0018.csv,1.4036666666666623e-09,,87,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0019.csv,1.667999999999999e-09,,85,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0020.csv,5.966666666666154e-11,,23,,0,,50 ohms
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0021.csv,1.5199999999999987e-09,,83,,0,,50 ohms
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0085.csv,1.465199999999998e-08,,80,,0,,50 ohms
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0086.csv,1.5119333333333334e-08,,86,,0,,50 ohms time 0.1
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0087.csv,1.4794666666666657e-08,,85,,0,,50 ohms time 0.1
