Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0074.csv,1.1642666666661167e-11,2.015432226613966e-06,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0075.csv,9.740248906560645e-07,4.7029333333349186e-11,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0076.csv,9.58704720194648e-07,2.431654933333331e-08,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0077.csv,9.719538483245155e-07,3.7767178666666606e-08,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0078.csv,9.448651394374629e-07,2.012085819314642e-06,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0079.csv,1.4739477333333285e-08,9.757378666666684e-09,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0080.csv,9.494531035308199e-07,6.700901333333334e-09,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0081.csv,9.376303899371073e-07,1.9804618648018646e-06,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0082.csv,2.5328666666666586e-09,2.690416000000003e-08,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0083.csv,9.4292726116208e-07,1.796139145098039e-06,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0084.csv,9.437238840579712e-07,1.0958975999999993e-08,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0085.csv,9.482280577427827e-07,3.766202666666675e-09,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0086.csv,9.374398837920497e-07,4.8799037333333327e-08,0,0,0,0,HV 20
,BNL,"12, 16",Electrons 85V,0.5,0,,50,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-10-15/scope-results-2025-10-15-0087.csv,9.488688157732603e-07,1.3061600000000438e-09,0,0,0,0,HV 20
